               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.069378,            0.021155,                   0,             0.26092,             0.76923,             0.34602,            0.076032,            0.082655,           0.0085557,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.066386,            0.019625,                   0,             0.82581,             0.30769,              0.4612,             0.12757,            0.085074,            0.008152,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.071315,            0.021794,                   0,             0.27633,             0.61538,             0.31401,            0.080292,            0.082644,           0.0083363,                   0,            0.008713,            0.008713,            0.008713
                  41,             0.07524,            0.019563,                   0,             0.31494,             0.46154,             0.35897,             0.12215,            0.078076,           0.0085952,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.063846,            0.021233,                   0,             0.35989,             0.61538,             0.37138,             0.11963,            0.079314,           0.0083864,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.06467,            0.022796,                   0,             0.36495,             0.84615,             0.39127,             0.11826,            0.079078,           0.0082719,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.072557,             0.02168,                   0,             0.42904,             0.61538,             0.51224,             0.15029,            0.075548,           0.0074856,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.074332,            0.018867,                   0,              0.3054,             0.61538,             0.33965,             0.10185,            0.079085,           0.0074805,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.067999,            0.021303,                   0,             0.56338,             0.59659,             0.53208,              0.1298,            0.070169,            0.007802,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.064743,             0.02163,                   0,             0.50067,             0.61538,             0.48392,             0.14625,            0.062839,           0.0079767,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.064467,            0.020634,                   0,             0.49655,             0.61538,             0.53075,             0.19965,            0.083767,           0.0076645,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.071377,            0.019718,                   0,             0.58675,             0.61538,             0.60761,             0.19106,            0.075376,           0.0078467,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.063842,            0.021343,                   0,             0.72329,             0.80561,             0.81563,             0.30604,            0.063031,           0.0077644,                   0,            0.008383,            0.008383,            0.008383
                  51,             0.06434,            0.020772,                   0,              0.5018,             0.69231,             0.59105,             0.17177,            0.086429,           0.0074916,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.074623,            0.020301,                   0,             0.54766,             0.83855,             0.69592,             0.26885,            0.059762,           0.0078252,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.064767,            0.020433,                   0,             0.47644,             0.84615,             0.66488,               0.198,             0.06894,           0.0076833,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.060727,            0.020588,                   0,             0.84563,             0.84615,             0.92167,              0.3093,            0.064425,           0.0076185,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.056416,            0.020311,                   0,             0.54621,             0.61538,             0.67139,             0.23926,            0.078174,            0.007436,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.061834,            0.020124,                   0,             0.35452,             0.92308,             0.59604,              0.2967,            0.071356,           0.0077265,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.071748,            0.020046,                   0,             0.28646,             0.69231,             0.30146,             0.13511,            0.080176,           0.0075036,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.056551,            0.020078,                   0,             0.46485,             0.60204,             0.42677,             0.13688,            0.075325,           0.0075422,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.057061,            0.020724,                   0,             0.58127,             0.84615,             0.71878,             0.17341,            0.074934,           0.0073609,                   0,            0.008086,            0.008086,            0.008086
                  60,              0.0611,            0.020331,                   0,             0.52762,             0.76923,             0.74339,             0.27465,            0.055061,           0.0073674,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.061469,            0.018851,                   0,             0.56416,             0.92308,             0.71471,             0.25459,            0.067816,           0.0072107,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.055948,            0.019715,                   0,             0.74837,             0.91554,             0.91273,              0.3516,            0.057245,            0.007232,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.054543,            0.019808,                   0,             0.65492,             0.76923,             0.70714,             0.20816,            0.062603,           0.0072725,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.059621,            0.019135,                   0,             0.45566,             0.61538,             0.69114,             0.37037,            0.055172,            0.007064,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.062265,            0.019159,                   0,             0.67984,             0.84615,             0.82557,             0.23981,            0.059967,           0.0071497,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.054531,             0.01971,                   0,             0.90473,             0.84615,             0.91063,             0.35168,            0.052452,           0.0071626,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.053584,            0.019649,                   0,             0.80256,                   1,              0.9482,             0.39711,            0.054426,            0.007164,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.061812,            0.019392,                   0,             0.45019,             0.84615,             0.46294,               0.146,            0.081698,           0.0068771,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.066537,              0.0186,                   0,             0.56912,             0.71211,             0.72249,             0.21817,            0.067687,           0.0069719,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.054789,            0.018655,                   0,             0.66091,                   1,              0.8104,             0.40293,            0.052665,           0.0071358,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.053876,            0.020392,                   0,             0.68859,              0.8507,              0.7491,             0.16792,             0.07445,           0.0069652,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.06205,            0.020288,                   0,             0.84585,             0.76923,             0.91331,             0.42312,            0.052349,           0.0068181,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.061886,            0.017841,                   0,             0.66111,             0.84615,             0.75325,             0.21685,            0.058443,            0.007154,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.055503,            0.020771,                   0,             0.74471,                   1,             0.87121,             0.22866,            0.055936,            0.007621,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.049938,            0.019006,                   0,             0.79614,             0.90228,             0.86598,             0.23351,            0.061904,            0.007355,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.057491,            0.018912,                   0,             0.63171,             0.84615,             0.79363,             0.27998,            0.049046,           0.0071871,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.056859,            0.019395,                   0,             0.85512,                   1,                0.93,             0.39985,            0.050067,           0.0072914,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.052819,            0.019084,                   0,              0.9162,                   1,             0.98429,             0.43808,            0.042836,           0.0072828,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.050957,            0.017968,                   0,             0.77509,             0.84615,             0.83424,             0.27917,             0.05878,           0.0072807,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.061636,            0.018966,                   0,             0.95201,             0.92308,             0.97853,             0.43351,             0.04698,           0.0072825,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.059774,            0.017925,                   0,             0.84411,             0.92308,             0.88639,             0.30902,            0.052807,           0.0075831,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.050299,            0.018171,                   0,             0.97217,                   1,               0.995,             0.36901,             0.04637,           0.0074948,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.049388,            0.019217,                   0,             0.91296,             0.92308,             0.91072,             0.40553,            0.045996,           0.0069874,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.051283,            0.019711,                   0,             0.58511,             0.92308,              0.6957,             0.35611,            0.057669,           0.0071508,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.056634,            0.018925,                   0,             0.85409,             0.92308,             0.91319,             0.31029,            0.052639,            0.007146,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.04908,            0.018905,                   0,             0.85666,             0.91968,              0.9298,             0.35984,            0.050402,           0.0070684,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.045693,            0.017957,                   0,              0.5812,             0.84615,               0.587,             0.16246,            0.069216,           0.0075439,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.055703,            0.018658,                   0,              0.5408,             0.81628,              0.6215,             0.27075,            0.064198,           0.0073902,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.05751,             0.02038,                   0,             0.66173,              0.9037,             0.66483,             0.31541,            0.062394,           0.0072835,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.048578,            0.018978,                   0,             0.69859,             0.84615,             0.71254,             0.31963,            0.059844,            0.006954,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.047456,            0.018181,                   0,             0.69435,             0.87482,             0.76387,             0.44789,            0.056638,           0.0066902,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.054689,            0.017599,                   0,             0.58262,             0.76923,             0.58032,             0.17454,            0.075567,           0.0072561,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.055573,            0.017973,                   0,             0.69906,             0.92308,             0.75636,             0.28469,            0.063176,           0.0069928,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.048613,            0.019878,                   0,               0.814,             0.92308,             0.84639,             0.41634,            0.054446,           0.0065966,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.046224,            0.018098,                   0,             0.90601,             0.92308,             0.95803,              0.3578,            0.060234,           0.0065684,                   0,            0.006898,            0.006898,            0.006898
                  96,             0.05259,            0.018319,                   0,             0.82277,             0.92308,             0.92896,              0.4596,            0.055264,           0.0063295,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.057487,            0.017547,                   0,             0.90504,             0.92308,             0.98567,             0.42189,            0.054128,            0.006509,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.049684,            0.020079,                   0,             0.92782,                   1,                0.99,             0.45094,            0.052629,           0.0063826,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.045261,            0.017901,                   0,             0.99566,                   1,               0.995,             0.36197,             0.05785,           0.0066072,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.051636,            0.018279,                   0,                   1,             0.99094,               0.995,             0.41885,            0.048036,           0.0063695,                   0,            0.006733,            0.006733,            0.006733
