               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,             0.02796,            0.022667,                   0,             0.95806,                0.96,              0.9646,             0.73654,            0.026326,            0.012778,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.030074,            0.023047,                   0,             0.95926,             0.94193,             0.96805,             0.78078,            0.026325,            0.011253,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.028171,            0.021433,                   0,             0.96384,                0.96,              0.9696,              0.7556,            0.025377,            0.011533,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.027055,            0.021992,                   0,             0.96326,             0.95333,             0.96679,             0.76823,            0.024679,            0.011963,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.028213,            0.022313,                   0,             0.96436,                0.96,              0.9726,             0.79528,            0.024466,            0.011279,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.027267,            0.021966,                   0,              0.9572,             0.94667,             0.96357,             0.74562,            0.030225,            0.012974,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.028081,             0.02131,                   0,             0.96118,             0.95333,             0.96001,             0.77592,            0.024652,            0.010772,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.029525,            0.021547,                   0,             0.97279,             0.95319,             0.97336,             0.72396,            0.026228,            0.011179,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.02711,            0.021849,                   0,             0.97519,             0.94667,             0.97047,              0.7792,            0.025019,            0.010512,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.027669,            0.021941,                   0,             0.96556,             0.93333,             0.95936,             0.66562,            0.030626,             0.01618,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.026223,            0.021229,                   0,             0.96638,             0.95803,              0.9715,              0.7877,            0.024858,            0.011238,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.024942,            0.020971,                   0,             0.97287,             0.95333,             0.97553,             0.75779,            0.023508,            0.010712,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.027031,            0.021084,                   0,             0.96339,             0.94667,             0.95521,             0.77797,            0.022439,            0.010219,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.026808,            0.020174,                   0,              0.9664,             0.95882,             0.96051,              0.7788,            0.022758,            0.010379,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.025031,            0.020142,                   0,             0.96241,             0.95333,             0.96209,             0.76378,            0.026004,            0.010702,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.025194,            0.022495,                   0,             0.96403,             0.95333,             0.95857,             0.71525,            0.026887,            0.013467,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.023695,            0.020327,                   0,             0.97041,                0.96,             0.96868,             0.77388,            0.020877,            0.010198,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.024455,            0.020022,                   0,             0.96594,                0.96,             0.96989,             0.76681,            0.021624,            0.010084,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.025713,            0.020971,                   0,             0.97272,             0.95068,               0.985,             0.79695,             0.01972,           0.0098076,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.024818,            0.019619,                   0,             0.96439,                0.96,             0.96969,             0.81449,             0.02148,           0.0098846,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.024183,            0.019267,                   0,             0.96636,              0.9577,             0.97165,             0.79692,            0.021028,            0.010201,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.024343,            0.019366,                   0,             0.97695,                0.96,             0.97304,             0.79192,            0.023289,            0.010509,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.024599,            0.019188,                   0,             0.98619,             0.95207,             0.96564,             0.82443,             0.02085,           0.0098727,                   0,             0.00802,             0.00802,             0.00802
                  62,              0.0238,            0.019545,                   0,             0.98297,             0.95333,             0.97061,              0.7545,             0.02455,            0.011037,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.024047,            0.021045,                   0,             0.99726,             0.93333,             0.96523,              0.8101,            0.021682,           0.0099161,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.023901,            0.019427,                   0,             0.96651,             0.96211,             0.97905,              0.7726,            0.020865,           0.0095867,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.022522,            0.019192,                   0,             0.98023,             0.94667,             0.97463,             0.82118,             0.02003,           0.0094917,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.024529,            0.019328,                   0,             0.98259,             0.95333,             0.96824,             0.80699,            0.020544,           0.0099976,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.023872,            0.019933,                   0,             0.98614,             0.94852,             0.97413,             0.75681,            0.023057,           0.0095322,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.024438,            0.018849,                   0,             0.97297,             0.95975,              0.9656,             0.80676,            0.020407,           0.0094959,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.023455,            0.018321,                   0,             0.98623,              0.9547,              0.9733,              0.7657,            0.021566,            0.010038,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.022959,            0.019409,                   0,             0.97727,                0.96,             0.97533,             0.79432,            0.020127,           0.0093019,                   0,            0.007723,            0.007723,            0.007723
                  71,             0.02352,            0.018738,                   0,              0.9792,             0.95333,             0.97361,              0.7287,            0.023557,            0.010001,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.023436,            0.018777,                   0,             0.98544,             0.95333,             0.97534,             0.83783,            0.018416,           0.0091996,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.022765,            0.018509,                   0,             0.98396,             0.95333,             0.97302,              0.7914,            0.021658,           0.0093009,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.022332,            0.018782,                   0,             0.97797,             0.95333,             0.97356,             0.79358,            0.021095,           0.0099302,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.021489,            0.018301,                   0,             0.97892,                0.96,             0.97369,             0.82308,            0.019347,           0.0090104,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.021627,            0.017516,                   0,             0.99277,             0.95333,             0.96625,             0.79837,            0.020478,           0.0098652,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.022526,            0.017949,                   0,               0.991,             0.95333,             0.97448,             0.81595,            0.020688,           0.0090641,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.022142,            0.018556,                   0,             0.98176,             0.95333,             0.96699,             0.82289,            0.021111,            0.010249,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.021219,              0.0182,                   0,             0.98682,             0.95333,             0.97403,              0.8354,            0.019586,           0.0089243,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.022464,            0.018715,                   0,             0.97273,                0.94,             0.96842,             0.79639,             0.02359,            0.010535,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.021954,            0.018584,                   0,             0.98626,             0.95729,             0.97429,             0.84123,            0.018186,            0.008848,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.022984,            0.018344,                   0,             0.98503,             0.95333,             0.97011,             0.81715,            0.019698,           0.0090298,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.020633,            0.017978,                   0,             0.97244,             0.95333,             0.96733,             0.80857,             0.02029,           0.0092361,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.022281,            0.018169,                   0,             0.98626,             0.95684,             0.96572,             0.78925,            0.021793,           0.0093669,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.020655,            0.017317,                   0,              0.9931,             0.95913,             0.97262,             0.82631,            0.019578,            0.009156,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.021083,            0.017252,                   0,              0.9931,             0.95889,             0.97575,             0.81569,            0.019467,           0.0087502,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.021025,            0.018455,                   0,             0.97957,             0.95876,             0.97365,             0.83528,            0.019498,           0.0085386,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.021431,            0.018001,                   0,             0.99913,             0.95333,             0.97708,             0.80067,            0.019714,           0.0090315,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.019778,            0.017582,                   0,             0.99393,             0.94667,             0.97631,             0.82896,            0.018135,           0.0086146,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.021706,             0.01787,                   0,             0.97958,             0.95934,             0.97041,             0.85092,            0.018313,           0.0086352,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.020602,            0.016914,                   0,              0.9863,             0.95974,             0.96169,             0.84431,            0.017676,           0.0083777,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.021684,            0.018068,                   0,             0.99183,             0.94667,             0.96588,             0.82305,            0.019865,           0.0087199,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.019995,            0.016639,                   0,             0.98637,             0.96521,              0.9764,             0.85225,            0.017474,           0.0081403,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.021378,            0.017527,                   0,              0.9854,                0.96,             0.97464,             0.84667,            0.018269,             0.00867,                   0,            0.006931,            0.006931,            0.006931
                  95,             0.02109,             0.01743,                   0,             0.98936,             0.94667,             0.97529,             0.80971,            0.020646,           0.0087506,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.020663,            0.017859,                   0,             0.97935,             0.94831,             0.97238,             0.83597,            0.019009,           0.0082628,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.020104,             0.01694,                   0,                   1,             0.95178,             0.96859,             0.83762,             0.01981,           0.0092465,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.019884,            0.016287,                   0,             0.97791,                0.96,              0.9665,             0.83056,            0.019346,           0.0085611,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.020674,            0.016784,                   0,             0.98629,             0.95893,             0.97445,             0.79346,            0.020863,           0.0091486,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.020257,            0.016727,                   0,             0.98976,             0.95333,             0.97419,             0.82535,            0.019349,           0.0089712,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.019143,            0.017002,                   0,             0.98629,             0.95895,             0.96653,             0.83462,            0.017956,           0.0090947,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.01955,            0.017007,                   0,                   1,             0.95689,             0.96838,             0.84439,             0.01907,           0.0093407,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.020278,            0.016574,                   0,             0.97957,             0.95876,             0.97544,              0.8572,            0.016955,           0.0086207,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.018654,            0.016519,                   0,             0.98628,             0.95837,             0.96705,             0.84458,            0.017713,           0.0082656,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.019688,            0.017021,                   0,             0.98628,             0.95832,              0.9661,             0.83785,            0.020051,           0.0090063,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.020127,            0.017578,                   0,                   1,             0.95239,             0.97446,             0.81585,            0.018932,           0.0091875,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.019053,             0.01703,                   0,             0.98909,             0.95333,             0.97775,             0.84495,            0.016945,            0.008552,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.020355,            0.016294,                   0,             0.99652,             0.95333,              0.9599,             0.82366,            0.018322,            0.008614,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.019619,             0.01709,                   0,             0.99181,                0.96,             0.96796,             0.83771,            0.016947,           0.0084267,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.020001,            0.015845,                   0,             0.99795,                0.96,             0.96596,             0.83885,            0.017617,           0.0087268,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.018837,            0.017309,                   0,             0.98571,                0.96,              0.9675,             0.85213,            0.018224,           0.0084803,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.020415,            0.017093,                   0,             0.98588,                0.96,             0.97418,             0.85765,            0.017242,           0.0085232,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.019308,            0.016718,                   0,               0.992,             0.95333,             0.96666,             0.84291,            0.017782,           0.0084656,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.020065,            0.016618,                   0,             0.99073,             0.95333,             0.95877,             0.83609,            0.018988,           0.0085436,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.018216,            0.015296,                   0,             0.97838,                0.96,             0.96034,             0.84184,            0.017225,           0.0083643,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.018651,            0.015649,                   0,             0.99306,             0.95411,              0.9672,              0.8367,            0.018266,           0.0085109,                   0,            0.006205,            0.006205,            0.006205
                 117,              0.0191,            0.016336,                   0,                   1,             0.95696,             0.96714,             0.85549,            0.017054,           0.0083165,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.019452,            0.016126,                   0,                   1,             0.95305,             0.97591,             0.84204,            0.017504,           0.0084152,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.019044,            0.016122,                   0,             0.99306,              0.9537,             0.97608,             0.84532,            0.017916,           0.0084797,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.018702,            0.016471,                   0,                   1,             0.95252,             0.97757,             0.84255,            0.017402,           0.0085309,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.017984,            0.015815,                   0,             0.99575,             0.95333,             0.97602,             0.83519,             0.01689,           0.0086154,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.018961,            0.016154,                   0,             0.99637,             0.95333,             0.96195,             0.86187,            0.016388,           0.0082229,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.018356,            0.016243,                   0,                   1,             0.95205,             0.97488,             0.85196,            0.016645,           0.0083878,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.018628,            0.015661,                   0,             0.98625,             0.95621,             0.96304,             0.84097,               0.017,           0.0081161,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.018331,            0.016371,                   0,                   1,              0.9524,             0.96872,             0.85946,            0.016789,           0.0081424,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.018581,            0.015842,                   0,             0.98614,                0.96,             0.96724,             0.85305,            0.018032,           0.0087069,                   0,            0.005875,            0.005875,            0.005875
                 127,             0.01783,            0.016348,                   0,             0.99425,             0.95333,             0.97178,             0.87164,            0.017144,           0.0082504,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.018234,            0.015433,                   0,             0.98731,             0.95333,             0.97613,             0.86407,            0.016923,           0.0079434,                   0,            0.005809,            0.005809,            0.005809
                 129,             0.01759,             0.01556,                   0,             0.98628,             0.95884,             0.96082,             0.85148,             0.01778,           0.0080691,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.018017,            0.016086,                   0,             0.99206,             0.95333,             0.97654,             0.85575,            0.017675,            0.008166,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.017132,            0.015698,                   0,             0.97185,                0.96,             0.97675,             0.83554,             0.01877,           0.0092767,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.017601,            0.015705,                   0,                   1,             0.95145,             0.97596,             0.85531,            0.018049,           0.0081252,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.018602,            0.015167,                   0,             0.98433,                0.96,              0.9669,             0.84443,            0.017629,           0.0081043,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.017871,            0.015969,                   0,             0.99307,             0.95571,             0.97602,             0.84589,             0.01761,            0.008212,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017422,            0.015475,                   0,             0.99306,             0.95387,             0.96535,             0.84304,            0.017607,           0.0083839,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.017647,            0.016107,                   0,             0.97947,             0.95425,             0.95926,             0.83703,            0.017798,           0.0089299,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.016616,            0.015292,                   0,             0.98624,             0.95561,             0.97509,             0.86515,            0.017317,           0.0078247,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.018145,            0.015372,                   0,             0.98628,             0.95864,             0.97542,             0.86193,            0.016841,           0.0078062,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.017719,            0.015845,                   0,             0.98628,             0.95874,             0.97502,             0.85518,            0.018016,           0.0082788,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.017842,            0.015379,                   0,             0.98606,                0.96,             0.97683,             0.86313,            0.016838,           0.0079056,                   0,            0.005413,            0.005413,            0.005413
